CreatedAt,tweets,User_ID,User_Name
2020-12-28 14:06:27,b'RT @Viji__Jeni: The 1st Single From Master Kannada Version Will Be Out This Week\n\n#MasterVIJAYEnteringNorth #MasterTrailer \n#Master @actorv\xe2\x80\xa6',1136310076908683264,💫𝑇𝐻𝐴𝐿𝐴𝑃𝐴𝑇𝐻𝑌 𝑆𝐴𝑌𝐴𝑁💫
,,,
2020-12-28 14:06:25,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1244825673950060544,Dhinesh
,,,
2020-12-28 14:06:25,b'RT @VijayFansTrends: Ready for #MasterTrailer announcement? \xf0\x9f\x91\x80 @actorvijay',1207007316941262848,arun kumar
,,,
2020-12-28 14:06:24,b'RT @troll_Memes09: #MasterTrailer possible on Jan1 New year special #Master \xf0\x9f\x94\xa5\n\n#MasterVIJAYEnteringNorth',1131487180436647936,Fayas Nazim
,,,
2020-12-28 14:06:20,b'RT @Itz_MersalImran: #MasterTrailer Update On New Year \nTrailer On This Sunday Evening Awww Itz Possible Guys Parpoom \nPodraa Vediyaaa Thal\xe2\x80\xa6',1131487180436647936,Fayas Nazim
,,,
2020-12-28 14:06:19,b'RT @ThalapathyFilms: #MasterTrailer Along with Release Date!\xf0\x9f\xa5\x81\xf0\x9f\x92\xa5 @ThalapathyFilms',1193017054162341888,JD Vijay'
,,,
2020-12-28 14:06:14,b'RT @Harisha64452927: @sanjayghai @actorvijay Surely it will be a big success in hindi \xf0\x9f\x92\xaf\nHoping for a grand release \xf0\x9f\x92\xaa\n#MasterTrailer \n#Maste\xe2\x80\xa6',1032483811127226368,Askar VFC
,,,
2020-12-28 14:06:14,"b""RT @Vasanth_Master: Master Is Not Just A Movie It's Been A 10 Months Of Patience Of All Thalapathy Fans \xf0\x9f\x98\x8c\n\n#Master #MasterPongal #MasterTra\xe2\x80\xa6""",1139277211091947520,🤗ᴛʜᴀʟᴀᴘᴀᴛʜʏ ᴠᴇʟ💥🧡
,,,
2020-12-28 14:06:11,"b'RT @TicketNew: \xf0\x9f\x94\xa5\xf0\x9f\x8e\xac#TicketNewMass \xf0\x9f\x8e\xac\xf0\x9f\x94\xa5\n\nFor #Bigil Trailer Announcement Poster, the phrase was ""Podra Vediya""\xf0\x9f\x94\xa5\n\nAny Phrase Guess for #MasterTra\xe2\x80\xa6'",1291702178776719361,Rohith
,,,
2020-12-28 14:06:09,b'RT @dp_karthik: Most of the major casts from #Master has already watched #MasterTrailer more than 4-5 times and many of them shared their e\xe2\x80\xa6',1234143435365310464,✘ℬⅈℊⅈℒ•aⷴmͦiⷡrͩtͬhⷬᴹᵃˢᵗᵉʳ ❁
,,,
2020-12-28 14:05:59,b'RT @ThalapathyFilms: #MasterTrailer Along with Release Date!\xf0\x9f\xa5\x81\xf0\x9f\x92\xa5 @ThalapathyFilms',1211874392692547585,Master Rasigan
,,,
2020-12-28 14:05:57,"b""RT @Itz_SriVJ: #SaviourOfKollywoodVIJAY And #MasterTrailer Is Also Trending\xf0\x9f\x98\x8e\n\n#MasterVIJAYEnteringNorth Let's Take This Also Into India Tre\xe2\x80\xa6""",1277801423149780992,ben 2k20 thalapathy
,,,
2020-12-28 14:05:56,b'RT @troll_Memes09: #MasterTrailer Locked \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',1031931916092551173,Akshay
,,,
